county,pop
Baker,16820
Benton,94360
Clackamas,423420
Clatsop,39330
Columbia,52750
Coos,63290
Crook,23440
Curry,23000
Deschutes,193000
Douglas,112250
Gilliam,1990
Grant,7360
Harney,7360
Hood River,25480
Jackson,221290
Jefferson,23840
Josephine,86750
Klamath,68190
Lake,8080
Lane,378880
Lincoln,48260
Linn,126550
Malheur,32030
Marion,347760
Morrow,12680
Multnomah,821730
Polk,82940
Sherman,1770
Tillamook,26500
Umatilla,81160
Union,26840
Wallowa,7150
Wasco,27240
Washington,613410
Wheeler,1440
Yamhill,108060
